ETH_DOLLAR,ETH_BTC,Price_Diff,Volume,Num_of_Trades,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusd,transactionfees,median_transaction_fee,confirmationtime,transactionvalue,marketcap,tweets,google_trends,fee_to_reward,fear_gear_index,Open,High,Low,Close,SMA_7,SMA_30,SMA_100,EMA_200,EMA_8,EMA_50,RSI,macd,macd_signal,macd_hist,ENGULFING,BB_upper,BB_middle,DD_lower
472.1,0.057765,21.769999999999985,170475.54936,118086,787527.0,24159.0,289146.0,3475587900712853.0,289923524232190.0,0.0347,724624282.0,0.267,0.0679,0.244,920.126,47908026721.0,14514.0,5.01,1.963,54,479.24,485.77,464.0,472.1,,,,,,,,,,,0,,,
462.64,0.058309,25.0,173976.2192,107846,725630.0,23504.0,247892.0,3529121429746141.0,287446738436630.0,0.0345,591049189.0,0.257,0.0621,0.246,814.5319999999998,48050407001.0,14076.0,4.333,1.777,53,472.11,485.0,460.0,462.64,,,,,,,,,,,0,,,
470.09,0.057446,18.160000000000025,198304.79211,108861,788715.0,22766.0,278263.0,3503120469918200.0,286943708524390.0,0.0338,631848993.0,0.214,0.0432,0.244,801.112,46939327771.0,11581.0,4.171,1.643,47,462.17,474.0,455.84,470.09,,,,,,,,,,,0,,,
469.29,0.056937,11.180000000000007,156862.59360999998,81561,703973.0,19586.0,222254.0,3544915982253264.0,288269222891090.0,0.034,372548771.0,0.34,0.0373,0.24,529.2090000000002,47208232286.0,9653.0,3.656,1.961,54,470.09,472.0,460.82,469.29,,,,,,,,,,,0,,,
466.4,0.056777,10.399999999999975,138747.56334000002,79843,716308.0,21874.0,233142.0,3557475178509700.0,289513506527280.0,0.0335,358450115.0,0.197,0.0294,0.24,500.413,47056998433.0,9679.0,4.171,1.361,54,468.44,472.0,461.6,466.4,,,,,,,,,,,0,,,
456.23,0.055866,23.69,179581.79415,103093,757712.0,23849.0,247366.0,3562924043688797.0,289051122261160.0,0.033,716744789.0,0.208,0.0385,0.241,945.933,46430238578.0,12101.0,4.388,1.567,53,466.4,469.79,446.1,456.23,,,,,,,,,,,0,,,
432.22,0.055815,30.300000000000008,214913.57229,117935,745063.0,23919.0,238813.0,3529739146569543.0,290296695483630.0,0.0318,1253448177.0,0.211,0.0369,0.243,1682.0,44563442214.0,13385.0,4.848,1.596,48,456.19,457.3,427.0,432.22,461.2814285714286,461.2814285714286,461.2814285714286,,,,,,,,0,,,
420.41,0.05525,28.44,209570.0844,122508,757758.0,24727.0,250108.0,3515277776873600.0,287121077438720.0,0.031,639075052.0,0.415,0.0354,0.246,843.3760000000002,42539776824.0,12869.0,4.902,1.51,39,432.2,434.99,406.55,420.41,453.8971428571429,453.8971428571429,453.8971428571429,,456.1725,,,,,,0,,,
410.62,0.05455,18.089999999999975,178421.10672,103504,779928.0,24602.0,247007.0,3554080876309500.0,292708997582800.0,0.0297,667352048.0,0.17800000000000002,0.035,0.246,855.659,42036964775.0,11583.0,4.848,1.4980000000000002,39,420.37,425.52,407.43,410.62,446.46571428571434,446.46571428571434,446.46571428571434,,446.0497222222222,,,,,,0,,,
417.52,0.056334,23.399999999999977,201156.61154,122785,753190.0,22395.0,266566.0,3477334976140000.0,285661389432920.0,0.0299,543333106.0,0.187,0.0505,0.243,721.3760000000002,41456573368.0,12600.0,5.01,1.557,36,410.62,420.01,396.61,417.52,438.9557142857143,438.9557142857143,438.9557142857143,,439.7097839506173,,,,,,0,494.56465196503814,447.75200000000007,400.939348034962
407.21,0.05806,17.669999999999963,179498.57515,102597,720548.0,21272.0,232422.0,3565682378545688.0,292893660104930.0,0.0296,395347984.0,0.23,0.0345,0.24,548.677,41673580228.0,10888.0,4.388,1.456,31,417.58,419.53,401.86,407.21,430.08714285714285,430.08714285714285,430.08714285714285,,432.487609739369,,,,,,-100,490.693024924128,441.26300000000003,391.83297507587207
408.79,0.05816,13.079999999999984,158913.77206,78475,704249.0,22206.0,208959.0,3567618848573000.0,293021488825789.0,0.0289,363824632.0,0.152,0.0341,0.243,516.614,41152769151.0,10429.0,4.333,1.1909999999999998,23,407.21,413.24,400.16,408.79,421.85714285714283,421.85714285714283,421.85714285714283,,427.22147424173147,,,,,,0,486.53707918626174,435.87800000000004,385.21892081373835
405.28,0.0584,16.199999999999992,166496.42465,98135,699536.0,23317.0,227712.0,3595327310955996.0,293322314183810.0,0.029,501565300.0,0.249,0.0446,0.243,716.997,41248140085.0,11947.0,4.848,1.903,25,408.77,413.28,397.08,405.28,414.5785714285715,414.5785714285715,414.5785714285715,,422.3455910769022,,,,,,0,477.40366124612297,429.39700000000005,381.39033875387713
